ZPPS SAKHARI,18.5109586,74.7059059
ZPPS VITTHALNAGAR,18.4538020,74.6816630
ZPPS VIJAYWADI,18.3777787,74.4313120
DEEP GRIHA ENG SACHOOL DEULGAONGADA,18.4592892,74.5873348
"SHRI BHANOBA ENG MED SCH ,KUSEGAON",18.3870302,74.4281147
ZPPS NARSALPATTA,18.3876320,74.4283807
ZPPS VAGDHARA,18.4476755,74.5635091
ZPPS GOKULNAGAR,18.4476755,74.5635091
BH.BHAGAWAT VIDAYALAY MALWADI,18.4495360,74.5643164
JIJAMATA HIGH SCHOOL GOPALWADI,18.4476755,74.5635091
ZPPS SHINGADEWADI,18.4888639,74.0184281
ZPPS BORIBELL,18.4157584,74.6546816
ZPPS BHODWEVASTI,18.4760000,74.2680000
JAIHIND VIDYALAY KASURDI,18.4763650,74.2680510
SHRIRAM VIDYALAY SWAMI CHINCHO,18.3233302,74.7249281
DATTA KALA INT. MARATHI MED MAD. SCH. SWAMI CHINCHOLI,18.3133895,74.7338299
DATTA KALA INT. MARATHI MED.PRI. SCH. SWAMI CHINCHOLI,18.5699361,73.8506427
KRANTI JOTI SAVITRIBAI PHULE PUBLIC SCHOOL RAVANGAON,18.3430470,74.6817550
ZPPS SAHAJPUR,18.4991558,74.1775750
ZPPS DAHITANE,18.5458252,74.2091280
ZPPS YADAVWADI,19.1077688,74.1489525
ZPPS MAKARWADI,18.4991560,74.1775750
ZPPS KHAMGAON PHATA,18.5148986,74.2306811
ZPPS KAMATWADI,18.7143192,75.0204712
R. B. ENG. MED. SCH. BHANDGAON,18.4629469,74.3128718
ZPPS EKERIWADI,18.5340314,74.3250204
ZPPS GALANDWADI,18.4897806,74.1944529
NEW ENGLISH HIGH SCHOOL,18.4932445,73.9286592
LIMRA NEW ENGLISH SCHOOL,18.4932445,73.9286592
NEW ENG PRI,18.4932445,73.9286592
IDEAL ENGLISH SECONDARY,18.5149325,73.9261587
DR.DADA GUJAR ENGLISH MEDIUM SCHOOL,18.4665083,73.9168397
MAHARASHTRA FELLOWSHIP FOR DEAF SCHOOL,18.4743560,73.9248500
ACTIVE ENGLISH SCHOOL,18.4645115,73.8872252
M.S.B.EDUCATIONAL INSTITUTE,18.4645115,73.8872252
VIDHYA VIKAS PRATHAMIK,18.4645115,73.8872252
PDEA ENG SCHOOL,18.5491758,73.9440608
EON GYANANKUR ENGLISH SCHOOL,18.5491758,73.9440608
PMC SCHOOL NO. 21 B,18.5055903,73.9137075
VARDHMAN ENG MED,18.5149325,73.9261587
MOUNT MERY,18.4911233,73.9308613
PMC SCHOOL NO. 171 B,18.5149325,73.9261587
PRAGATI SEONDARY,18.5011056,73.9415187
SIGNATE PUBLIC SCHOOL,18.4718347,73.9377630
CITY INTERNATIONAL SCHOOL,18.4974663,73.9007069
KROOT MEMORIA HIGH SCHOOL,18.4986371,73.9074389
NIKOS PUBLIC SCHOOL KONDHWA,18.4687712,73.8830701
LADY HALIMA BEGAM URDU PRA,18.4720973,73.8813266
PMC SCHOOL NO. 122 B URDU,18.4722983,73.8810205
HASSAN HUSSAIN IMAMIYA URDU HIGH SCHOOL,18.4926135,73.8757200
PMC SCHOOL NO. 20 G,18.5055903,73.9137075
ADARSHA SECONDARY,18.5332622,73.9370923
PMC SCHOOL VINI 15,18.5332622,73.9370923
PMC SCHOOL NO. 77 B,18.5332622,73.9370923
ANNASAHEB MAGAR JR. COLLEGE,18.5062185,73.9383350
SANE GURUJI PRIMARY,18.5062185,73.9383350
ANGEL MICKYMINI SCHOOL,18.5089197,73.9260261
PRAKASH JYOTI MATIMAND,18.4978250,73.9587440
ZP SCHOOL INAMDARWASTI,18.5044294,74.1323251
ZPPS ASHTAPUR,18.5483620,74.1346240
AMAR EDUCATION INSTITUTE,18.5059396,74.1209367
NEW ENGLISH SCHOOL ASHTAPUR,18.5467590,74.1342650
ZPPS MALWADI(ASHTAPUR),18.5053012,73.9389213
SAMSON MEMORIAL REPUBLIC HIGHSCHOOL,18.6800397,73.7323604
KARMAVIR BHAURAO PATIL PRI MAR,18.7150852,73.7683784
CENTRAL VID NO-2 DEHUROAD,18.6819701,73.7336956
SANEGURUJI PRI SCHOOL KINHAI,18.6611620,73.7286620
SHREE SHIVAJI HIGHSCHOOL & JR COLLEGE,18.6742528,73.7301331
ST GEORGE ENGLISH THOMAS COLONY,18.6782139,73.7411936
LIONS CLUB EDU ASO ENG MED SCHOOL,18.6815593,73.7212229
LIONS CLUB EDU ASO HIGHSCHOOL ENG MED,18.6815593,73.7212229
VENKATESHWARA MARATHI HIGHSCHOOL,18.4320660,73.7698550
VENKATESHWARA ENG HIGHSCHOOL,18.4320660,73.7698550
ZPPS KHDAKAWASALA NO 1,18.4452538,73.7871664
CAPITAL ENGLISH MEDIUM SCHOOL,18.4519355,73.9690610
EURO SCHOOL,18.4602050,73.9125440
NUTAN MADHYAMIK VIDYALAYA,18.4423390,73.9353620
LOTUS GARDEN ENGLISH MEDIUM SCHOOL,18.4383720,73.9445970
ZPPS DAGADEVASTI (PISOLI),18.4602050,73.9125440
ZPPS YEVLEWADI 2,18.4695733,73.8601922
NEW ENGLISH SCHOOL KOLWADI,18.5306064,74.0246290
ZPPS BANGARWASTI,18.5670940,74.0260960
HOLY ANGEL PRIMARY SCHOOL,18.5452864,73.9887679
GYANANKUR ENG ME SCHOOL,18.5726533,74.0267532
LAL BAHADUR SHASTRI HIGH SCHOOL,18.5689879,73.8474542
TIKARAM JAGANNATH ARTS COM & SCIENCE COLLEGE,18.5688680,73.8456620
LOKMANYA TILAK HIGH SCHOOL,18.5543343,73.8674294
ALEGAONKAR HIGH SCHOOL KHADKI,18.5685281,73.8458948
ARMY PUBLIC SCHOOL,18.5640938,73.8602446
SENT JOHN PRI SCHOOL KHADAKI,18.5689277,73.8438427
ZP ALANDI MHATOBA,18.4879440,74.0708070
ZP SCHOOL RAMOSHIWADI,18.4884210,74.0688470
ZP SCHOOL MARGVASTI,18.5100809,74.0946311
ZP SCHOOL KUNJIRWADI,18.4845209,74.0710156
NEW ENGLISH SCHOOL DEHU,18.7151659,73.7689403
SHRI EKNATHRAO KHESE PRI ENG SCHOOL,18.6074430,73.9331330
FOUR-S ENGLISH MED SCHOOL.,18.7491371,73.7624950
SHRI EKNATHRAO KHESE SEC MARATHI MEDIUM,18.6128621,73.9424308
EMMANUEL PUBLIC SCHOOL,18.5752582,73.9533651
ZPPS VITTHALWADI,18.5015768,73.8606354
SHRI EKNATHRAO KHESE SEC ENG MEDIUM,18.5982172,73.9210059
ZPPS HARANTALE VASTI,18.6128621,73.9424308
ZPPS MALWADI (KAVADI),18.4930269,73.9985486
INNOVERA SCHOOL,18.4887915,74.0102514
ZPPS LONIKALBHOR NO 1,18.4854475,74.0281239
ZPPS KADAMWASTI,18.4923886,74.0255257
ZPPS SHIVALEWASTI,18.6694438,73.9954909
ZPPS LONIKAND,18.6287285,74.0329499
ZPPS VADU KHU,18.6568591,74.0520718
H U DHOTRE MADHYAMIK SCHOOL,18.6315010,74.0349400
ZPPS NAGARMALWADI,18.6694438,73.9954909
NETAJI BOS BOYES MILITARY SCHOOL,18.6505334,74.0161891
ZPPS SAVATAMALI NAGAR,18.0834445,74.7996540
ZPPS RAKHUNDEMALA,18.1140272,75.0319086
ZPPS GALANDWADI NO. 2,18.0786379,75.0501630
ZPPS WADAPURI,18.1140272,75.0319086
SHRI HANUMAN VID. AVASARI,18.9881805,73.9636456
KAI SHAHAJIRAO PATIL PRI. ASR.,18.0737000,74.0284000
"JIJAMATA VIDHYALAYA ,SARATI",17.9052770,75.0122889
JIJAMATA PRY VID. SARATI,17.9663148,74.9948755
JIJAMATA ENGLISH MEDIUM SCHOOL,17.9751977,74.9931240
ZPPS MACHALE WASTI,18.0715036,74.7384618
SHRI NILKANTHESHWAR VID,18.0875023,74.7636061
"NEW ENGLISH SCHOOL, DALAJ",18.2310990,74.7950184
ZPPS KALEWADI NO 2,18.1784374,74.8974925
ZPPS KALEMATREWASTI,18.1784374,74.8974925
ZPPS KALAKHE WASTI,18.0682909,75.0659120
"JIJAU INSTITUTE, KALTHAN NO. 1",18.1464654,74.9961753
ZPPS GALANDWADI NO. 1,18.1464654,74.9961753
ARTS SCIENCE AND COMMERCE COLLEGE INDAPUR,18.1160805,75.0302294
ZPPS INDAPUR NO. 6,20.1425344,75.2815792
SC & NAVBAUDH BOYS RESIDENSIAL HIGH SCHOOL TARANGWADI,18.1140272,75.0319086
PRIYADARSHANI ENG SCL. INDAPUR,18.1175373,75.0242132
ZPPS BENDWASTI,18.1140272,75.0319086
ZPPS DAGADEKOKAREMARKADWASTI,18.1799952,74.8448648
"SHRI HARNESHWAR VIDYALAYA, KALAS",18.5051045,73.9174172
ZPPS KHARATODEWASTI,18.5051045,73.9174172
ZPPS PIMPALACHA MALA,19.3926780,74.6488264
ZPPS DARADEWASTI,18.2039722,74.7483371
ZPPS THAKURWADI,18.1729891,75.0194944
ZPPS SHIRSODI,18.1229257,75.0236068
VIVEKANAND VIDYALAY SHIRSODI,18.1708801,75.0202247
ZPPS PIMPRI KURDH,18.6297811,73.7997094
ZPPS SUGAON,18.1229257,75.0236068
ZPPS PADULEWASTI,18.1229257,75.0236068
ZPPS PADASTHAL,18.1530224,75.0301401
DADASAHEB PATIL VID. KANDALGAO,18.1026908,75.1113504
ZPPS TOBAREWASTI,18.1015732,75.1122124
ZPPS KADALGAON,18.1026908,75.1113504
ZPPS KOLEKARWASTI,18.1015732,75.1122124
ZPPS SARADEWADI,18.1045311,75.0819296
